17	48	7
14	38	0
121	37	31
16	30	6
10	27	0
5	24	0
6	23	2
6	21	3
1	19	1
73	19	0
2	19	0
4	17	2
17	17	3
5	16	2
11	16	0
4	16	0
1	15	2
9	15	0
7	14	4
2	14	0
4	13	0
0	12	5
7	11	1
20	11	2
0	9	1
5	9	2
0	9	0
0	8	1
6	8	0
0	8	0
0	8	0
0	8	0
3	7	3
17	7	0
0	7	0
1	6	2
6	6	0
2	6	0
0	5	1
1	5	2
3	5	1
2	5	0
1	5	0
1	5	0
1	4	1
2	4	1
29	4	0
3	4	0
1	4	0
0	4	0
2	3	0
1	3	0
0	3	0
0	2	3
0	2	1
0	2	1
3	2	1
7	2	0
5	2	0
1	2	0
1	2	0
1	2	0
0	2	0
0	2	0
0	2	0
0	2	0
0	2	0
0	2	0
0	2	0
0	2	0
0	2	0
0	2	0
0	1	1
0	1	1
1	1	1
2	1	1
5	1	0
3	1	0
3	1	0
1	1	0
1	1	0
1	1	0
1	1	0
1	1	0
1	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	1	0
0	0	2
0	0	2
0	0	1
0	0	1
0	0	1
0	0	1
0	0	1
0	0	1
1	0	3
1	0	1
3	0	1
54	0	0
3	0	0
3	0	0
2	0	0
1	0	0
1	0	0
1	0	0
